기간,자치구,살인,강도,강간강제추행,절도,폭력
2014,종로구,3,12,226,2272,2508
2014,중구,6,13,221,2576,2415
2014,용산구,1,7,213,1560,2018
2014,성동구,1,5,141,1753,1682
2014,광진구,8,16,249,3167,2828
2014,동대문구,12,13,141,1809,2388
2014,중랑구,11,14,163,2390,2775
2014,성북구,8,16,165,2130,2287
2014,강북구,6,21,189,1494,2320
2014,도봉구,6,11,172,1350,1585
2014,노원구,5,8,173,2404,2722
2014,은평구,5,24,188,2352,2862
2014,서대문구,3,4,185,1883,2119
2014,마포구,4,22,265,2763,2686
2014,양천구,5,11,129,2058,2439
2014,강서구,8,9,214,2341,2717
2014,구로구,3,14,252,2377,2743
2014,금천구,7,9,162,1552,2112
2014,영등포구,14,10,250,3080,3649
2014,동작구,2,9,203,1787,1868
2014,관악구,7,25,361,3029,3359
2014,서초구,6,14,285,2747,2506
2014,강남구,13,37,512,3895,4394
2014,송파구,9,9,255,4199,3532
2014,강동구,5,10,148,2425,2804
