기간,자치구,살인,강도,강간강제추행,절도,폭력
2017,종로구,7,10,253,1644,2143
2017,중구,1,9,267,1846,2061
2017,용산구,1,5,327,1346,2381
2017,성동구,1,3,132,1072,1559
2017,광진구,6,13,261,2220,2146
2017,동대문구,11,3,165,1547,2249
2017,중랑구,5,3,172,1533,2858
2017,성북구,7,8,173,1344,1902
2017,강북구,8,7,208,1014,2156
2017,도봉구,1,3,104,633,1258
2017,노원구,4,9,180,1538,2478
2017,은평구,6,4,230,1387,2256
2017,서대문구,4,1,202,1230,1676
2017,마포구,3,8,500,2094,2673
2017,양천구,3,3,138,1590,2148
2017,강서구,11,4,316,1888,2916
2017,구로구,7,8,328,1725,2827
2017,금천구,5,5,240,1141,1874
2017,영등포구,15,5,455,2304,3190
2017,동작구,1,7,396,1226,1700
2017,관악구,8,7,379,1979,3152
2017,서초구,9,13,470,1812,2404
2017,강남구,7,20,607,3130,3956
2017,송파구,6,1,288,2274,3007
2017,강동구,5,10,172,1645,2429
