기간,자치구,살인,강도,강간강제추행,절도,폭력
2015,종로구,6,11,211,2184,2293
2015,중구,3,9,170,2548,2224
2015,용산구,5,14,194,1557,2050
2015,성동구,4,9,126,1607,1612
2015,광진구,4,14,240,3026,2625
2015,동대문구,5,13,173,1981,2548
2015,중랑구,13,11,187,2135,2847
2015,성북구,5,5,150,1785,2209
2015,강북구,7,14,153,1434,2649
2015,도봉구,3,9,102,1063,1487
2015,노원구,10,7,197,2193,2723
2015,은평구,3,9,166,1914,2653
2015,서대문구,2,5,154,1812,2056
2015,마포구,8,14,294,2555,2983
2015,양천구,3,6,120,1890,2509
2015,강서구,7,13,262,2096,3207
2015,구로구,8,15,281,2335,3007
2015,금천구,3,6,151,1567,2054
2015,영등포구,14,22,295,2964,3572
2015,동작구,5,9,285,1865,1910
2015,관악구,9,12,320,2706,3298
2015,서초구,8,9,393,2635,2399
2015,강남구,13,21,449,3850,4284
2015,송파구,11,13,220,3239,3295
2015,강동구,4,6,156,2366,2712
